"","Jahr","week","duration","feeling"
"107","2015","2015 - Week 46",29.6,3.3
"108","2015","2015 - Week 47",34.25,3.5
"109","2015","2015 - Week 48",28.2333333333333,3.62962962962963
"110","2015","2015 - Week 49",26.3166666666667,3.23076923076923
"111","2015","2015 - Week 50",24.9166666666667,3.48
"112","2015","2015 - Week 51",14.4833333333333,3.66666666666667
"113","2016","2016 - Week 00",6.71666666666667,3.42857142857143
"114","2016","2016 - Week 01",23.3166666666667,3.42105263157895
"115","2016","2016 - Week 02",39.15,3.55555555555556
"116","2016","2016 - Week 03",27.35,3.45833333333333
"117","2016","2016 - Week 04",35.9666666666667,3.35294117647059
"118","2016","2016 - Week 05",33.5,3.17857142857143
"119","2016","2016 - Week 06",41.9333333333333,3.17241379310345
"120","2016","2016 - Week 07",34.7166666666667,3.06451612903226
"121","2016","2016 - Week 08",36.0833333333333,3.33333333333333
"122","2016","2016 - Week 09",30.95,3.13793103448276
"123","2016","2016 - Week 10",30.9166666666667,3.48387096774194
"124","2016","2016 - Week 11",33.7666666666667,3.24242424242424
"125","2016","2016 - Week 12",28.8,3.36
"126","2016","2016 - Week 13",6.01666666666667,3
"127","2016","2016 - Week 14",41.6833333333333,2.92105263157895
"128","2016","2016 - Week 15",49.4333333333333,3.40540540540541
"129","2016","2016 - Week 16",41.7833333333333,3.07894736842105
"130","2016","2016 - Week 17",46.05,3.29411764705882
"131","2016","2016 - Week 18",35.8333333333333,3.25
"132","2016","2016 - Week 19",41.6666666666667,3.29411764705882
"133","2016","2016 - Week 20",17.5166666666667,3.32
"134","2016","2016 - Week 21",39.3166666666667,3.175
"135","2016","2016 - Week 22",36.0333333333333,2.90625
"136","2016","2016 - Week 23",41.3333333333333,3.46511627906977
